Invoice_Number,Invoice_Date,Year,Month,Quarter,Day,Weekday,Customer_ID,Customer_Name,Customer_Type,Industry,Region_ID,Region_Name,Zone,Salesperson_ID,Salesperson_Name,Designation,Product_ID,Product_Name,Category,Quantity,Manufacturing_Cost,Selling_Price,Subtotal,Discount_Percent,Discount_Amount,GST,Profit,Total_Amount,Payment_Method,Payment_Status,Delivery_Status,Lead_Time_Days,Demand_Level
INV100011,2025-03-28,2025,3,1,28,Friday,CUST0212,Baker Hughes Branch 26,Platinum,Manufacturing,REG001,Rajasthan,North,SP0072,Neha Agarwal,Senior Sales Executive,PRD0009,Centralizer,Downhole Tools,7,948564,1348253,9437771,0,0.0,1698798.78,2797823,11136569.78,Cash,Overdue,Delivered,17,Low
INV100012,2023-08-16,2023,8,3,16,Wednesday,CUST0412,Baker Hughes Branch 22,Silver,Mining,REG005,Punjab,North,SP0089,Rohit Gupta,Senior Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,3,1002729,1270201,3810603,5,190530.15,651613.11,802416,4271685.96,Cash,Pending,In Transit,15,Low
INV100013,2024-07-17,2024,7,3,17,Wednesday,CUST0240,Baker Hughes Branch 22,Gold,Manufacturing,REG013,Kerala,South,SP0071,Sandeep Gupta,Senior Sales Executive,PRD0007,Float Collar,Wellhead Equipment,21,676417,955015,20055315,10,2005531.5,3248961.03,5850558,21298744.53,UPI,Pending,In Transit,21,High
INV100014,2023-03-06,2023,3,1,6,Monday,CUST0004,ONGC Branch 7,Platinum,Manufacturing,REG001,Rajasthan,North,SP0080,Karan Singh,Sales Executive,PRD0011,Packer,Downhole Tools,22,698591,886856,19510832,10,1951083.2,3160754.78,4141830,20720503.58,Cheque,Overdue,Processing,15,Low
INV100015,2022-05-27,2022,5,2,27,Friday,CUST0422,Vedanta Limited Branch 29,Silver,Mining,REG015,West Bengal,East,SP0050,Vikas Patel,Area Sales Manager,PRD0001,Hydraulic Cylinder,Downhole Tools,20,970487,1191595,23831900,5,1191595.0,4075254.9,4422160,26715559.9,NEFT,Overdue,Delivered,20,High
INV100016,2022-12-01,2022,12,4,1,Thursday,CUST0438,Oil India Branch 20,Silver,Engineering,REG005,Punjab,North,SP0089,Rohit Gupta,Senior Sales Executive,PRD0016,Drill Bit,Downhole Tools,15,974079,1280634,19209510,15,2881426.5,2939055.03,4598325,19267138.53,Bank Transfer,Overdue,Processing,13,High
INV100017,2025-02-14,2025,2,1,14,Friday,CUST0188,Vedanta Limited Branch 18,Silver,Oil & Gas,REG008,Madhya Pradesh,Central,SP0047,Priya Gupta,Regional Sales Manager,PRD0009,Centralizer,Downhole Tools,8,948564,1348253,10786024,10,1078602.4,1747335.89,3197512,11454757.49,Cash,Paid,Delivered,17,Low
INV100018,2023-10-09,2023,10,4,9,Monday,CUST0108,Cairn Oil Branch 14,Platinum,Engineering,REG010,Karnataka,South,SP0088,Nikhil Gupta,Senior Sales Executive,PRD0007,Float Collar,Wellhead Equipment,13,676417,955015,12415195,10,1241519.5,2011261.59,3621774,13184937.09,Cash,Paid,Processing,21,High
INV100019,2023-10-07,2023,10,4,7,Saturday,CUST0147,Vedanta Limited Branch 10,Platinum,Oil & Gas,REG004,Haryana,North,SP0037,Neha Sharma,Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,7,1002729,1270201,8891407,15,1333711.05,1360385.27,1872304,8918081.22,RTGS,Overdue,In Transit,15,Low
INV100020,2022-10-20,2022,10,4,20,Thursday,CUST0106,Vedanta Limited Branch 20,Gold,Engineering,REG013,Kerala,South,SP0095,Sandeep Yadav,Senior Sales Executive,PRD0010,Liner Hanger,Downhole Tools,9,993384,1248658,11237922,5,561896.1,1921684.66,2297466,12597710.56,UPI,Overdue,Processing,10,Low
INV100021,2025-01-08,2025,1,1,8,Wednesday,CUST0075,Oil India Branch 20,Silver,Engineering,REG018,Chhattisgarh,Central,SP0060,Neha Singh,Sales Executive,PRD0004,Mud Motor,Wellhead Equipment,9,508496,701218,6310962,20,1262192.4,908778.53,1734498,5957548.13,RTGS,Overdue,In Transit,31,High
INV100022,2024-01-12,2024,1,1,12,Friday,CUST0116,Essar Oil Branch 5,Silver,Oil & Gas,REG013,Kerala,South,SP0011,Karan Gupta,Area Sales Manager,PRD0010,Liner Hanger,Downhole Tools,8,993384,1248658,9989264,5,499463.2,1708164.14,2042192,11197964.94,NEFT,Pending,Delivered,10,Low
INV100023,2022-04-07,2022,4,2,7,Thursday,CUST0208,Schlumberger Branch 15,Silver,Mining,REG001,Rajasthan,North,SP0005,Priya Patel,Senior Sales Executive,PRD0014,Christmas Tree,Downhole Tools,4,540174,759187,3036748,5,151837.4,519283.91,876052,3404194.51,Cheque,Paid,Processing,30,Low
INV100024,2024-05-14,2024,5,2,14,Tuesday,CUST0465,Bharat Petroleum Branch 5,Gold,Oil & Gas,REG020,Goa,West,SP0009,Pooja Patel,Area Sales Manager,PRD0006,Crossover,Downhole Tools,20,591369,732629,14652580,0,0.0,2637464.4,2825200,17290044.4,RTGS,Pending,Processing,11,Low
INV100025,2024-08-16,2024,8,3,16,Friday,CUST0442,Halliburton Branch 9,Platinum,Manufacturing,REG002,Gujarat,West,SP0061,Sandeep Singh,Area Sales Manager,PRD0002,Bridge Plug,Wellhead Equipment,17,407473,557901,9484317,10,948431.7,1536459.35,2557276,10072344.65,NEFT,Paid,Processing,10,Low
INV100026,2022-08-23,2022,8,3,23,Tuesday,CUST0118,Schlumberger Branch 8,Gold,Oil & Gas,REG002,Gujarat,West,SP0045,Neha Yadav,Sales Executive,PRD0014,Christmas Tree,Downhole Tools,22,540174,759187,16702114,20,3340422.8,2405104.42,4818286,15766795.62,Bank Transfer,Overdue,In Transit,30,Low
INV100027,2022-08-17,2022,8,3,17,Wednesday,CUST0367,Cairn Oil Branch 12,Gold,Engineering,REG016,Assam,East,SP0082,Neha Agarwal,Regional Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,10,1002729,1270201,12702010,15,1905301.5,1943407.53,2674720,12740116.03,UPI,Pending,Delivered,15,Low
INV100028,2023-06-24,2023,6,2,24,Saturday,CUST0123,Engineers India Branch 16,Gold,Manufacturing,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0008,Float Shoe,Drilling Tools,17,781741,1042887,17729079,5,886453.95,3031672.51,4439482,19874297.56,NEFT,Paid,Processing,10,High
INV100029,2023-09-04,2023,9,3,4,Monday,CUST0020,Indian Oil Branch 26,Gold,Energy,REG008,Madhya Pradesh,Central,SP0063,Priya Singh,Senior Sales Executive,PRD0010,Liner Hanger,Downhole Tools,21,993384,1248658,26221818,20,5244363.6,3775941.79,5360754,24753396.19,NEFT,Paid,Delivered,10,Low
INV100030,2024-02-05,2024,2,1,5,Monday,CUST0104,Adani Power Branch 11,Platinum,Mining,REG010,Karnataka,South,SP0044,Vikas Kumar,Senior Sales Executive,PRD0015,Completion Valve,Downhole Tools,25,894731,1269705,31742625,5,1587131.25,5427988.88,9374350,35583482.63,NEFT,Overdue,Delivered,18,Medium
INV100031,2025-05-11,2025,5,2,11,Sunday,CUST0373,Engineers India Branch 5,Silver,Mining,REG015,West Bengal,East,SP0043,Sandeep Patel,Area Sales Manager,PRD0007,Float Collar,Wellhead Equipment,11,676417,955015,10505165,15,1575774.75,1607290.24,3064578,10536680.49,Cash,Paid,In Transit,21,High
INV100032,2023-09-22,2023,9,3,22,Friday,CUST0013,Cairn Oil Branch 23,Silver,Oil & Gas,REG019,Bihar,East,SP0092,Sandeep Sharma,Regional Sales Manager,PRD0005,Drill Collar,Hydraulic Equipment,8,591704,829780,6638240,0,0.0,1194883.2,1904608,7833123.2,UPI,Overdue,Delivered,15,Medium
INV100033,2022-06-25,2022,6,2,25,Saturday,CUST0005,Reliance Industries Branch 18,Platinum,Manufacturing,REG020,Goa,West,SP0070,Amit Gupta,Regional Sales Manager,PRD0001,Hydraulic Cylinder,Downhole Tools,24,970487,1191595,28598280,15,4289742.0,4375536.84,5306592,28684074.84,Cash,Overdue,Delivered,20,High
INV100034,2022-09-20,2022,9,3,20,Tuesday,CUST0262,NTPC Branch 12,Platinum,Energy,REG004,Haryana,North,SP0054,Shreya Patel,Senior Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,22,1002729,1270201,27944422,15,4191663.3,4275496.57,5884384,28028255.27,NEFT,Paid,In Transit,15,Low
INV100035,2024-12-16,2024,12,4,16,Monday,CUST0355,Oil India Branch 18,Platinum,Mining,REG003,Delhi NCR,North,SP0003,Amit Sharma,Senior Sales Executive,PRD0005,Drill Collar,Hydraulic Equipment,20,591704,829780,16595600,15,2489340.0,2539126.8,4761520,16645386.8,UPI,Overdue,Processing,15,Medium
INV100036,2025-11-13,2025,11,4,13,Thursday,CUST0231,ONGC Branch 28,Platinum,Energy,REG013,Kerala,South,SP0067,Amit Kumar,Area Sales Manager,PRD0002,Bridge Plug,Wellhead Equipment,7,407473,557901,3905307,10,390530.7,632659.73,1052996,4147436.03,RTGS,Overdue,Processing,10,Low
INV100037,2024-02-04,2024,2,1,4,Sunday,CUST0021,ONGC Branch 7,Platinum,Engineering,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0007,Float Collar,Wellhead Equipment,15,676417,955015,14325225,20,2865045.0,2062832.4,4178970,13523012.4,RTGS,Paid,Delivered,21,High
INV100038,2023-04-06,2023,4,2,6,Thursday,CUST0283,HPCL Branch 24,Platinum,Mining,REG002,Gujarat,West,SP0046,Pooja Singh,Sales Executive,PRD0010,Liner Hanger,Downhole Tools,3,993384,1248658,3745974,10,374597.4,606847.79,765822,3978224.39,Cash,Overdue,Processing,10,Low
INV100039,2023-04-17,2023,4,2,17,Monday,CUST0337,Larsen & Toubro Branch 28,Silver,Energy,REG020,Goa,West,SP0070,Amit Gupta,Regional Sales Manager,PRD0011,Packer,Downhole Tools,19,698591,886856,16850264,5,842513.2,2881395.14,3577035,18889145.94,Cash,Paid,Processing,15,Low
INV100040,2025-07-16,2025,7,3,16,Wednesday,CUST0199,Essar Oil Branch 22,Platinum,Engineering,REG003,Delhi NCR,North,SP0051,Nikhil Gupta,Senior Sales Executive,PRD0008,Float Shoe,Drilling Tools,2,781741,1042887,2085774,5,104288.7,356667.35,522292,2338152.65,Cash,Paid,In Transit,10,High
INV100041,2022-05-26,2022,5,2,26,Thursday,CUST0174,Tata Steel Branch 6,Silver,Energy,REG008,Madhya Pradesh,Central,SP0062,Rohit Kumar,Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,17,784714,1016097,17273649,5,863682.45,2953793.98,3933511,19363760.53,Bank Transfer,Overdue,In Transit,19,Low
INV100042,2023-03-15,2023,3,1,15,Wednesday,CUST0378,HPCL Branch 5,Gold,Oil & Gas,REG011,Andhra Pradesh,South,SP0015,Karan Sharma,Regional Sales Manager,PRD0005,Drill Collar,Hydraulic Equipment,18,591704,829780,14936040,5,746802.0,2554062.84,4285368,16743300.84,Cheque,Overdue,Processing,15,Medium
INV100043,2024-08-26,2024,8,3,26,Monday,CUST0359,Essar Oil Branch 5,Silver,Manufacturing,REG007,Maharashtra,West,SP0038,Rahul Kumar,Senior Sales Executive,PRD0008,Float Shoe,Drilling Tools,8,781741,1042887,8343096,15,1251464.4,1276493.69,2089168,8368125.29,RTGS,Paid,Delivered,10,High
INV100044,2022-07-18,2022,7,3,18,Monday,CUST0244,Halliburton Branch 10,Platinum,Mining,REG012,Telangana,South,SP0007,Sandeep Gupta,Area Sales Manager,PRD0017,Casing Pipe,Drilling Tools,22,575504,798082,17557804,15,2633670.6,2686344.01,4896716,17610477.41,Bank Transfer,Pending,In Transit,30,Low
INV100045,2024-08-14,2024,8,3,14,Wednesday,CUST0035,Vedanta Limited Branch 18,Silver,Engineering,REG012,Telangana,South,SP0036,Shreya Agarwal,Regional Sales Manager,PRD0016,Drill Bit,Downhole Tools,24,974079,1280634,30735216,0,0.0,5532338.88,7357320,36267554.88,Cheque,Overdue,Processing,13,High
INV100046,2022-07-21,2022,7,3,21,Thursday,CUST0097,Halliburton Branch 9,Silver,Oil & Gas,REG006,Uttar Pradesh,North,SP0025,Vikas Yadav,Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,2,784714,1016097,2032194,15,304829.1,310925.68,462766,2038290.58,Cheque,Pending,Delivered,19,Low
INV100047,2023-05-25,2023,5,2,25,Thursday,CUST0381,Cairn Oil Branch 27,Platinum,Manufacturing,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0015,Completion Valve,Downhole Tools,7,894731,1269705,8887935,5,444396.75,1519836.88,2624818,9963375.13,NEFT,Pending,Delivered,18,Medium
INV100048,2024-05-14,2024,5,2,14,Tuesday,CUST0480,Cairn Oil Branch 1,Gold,Mining,REG004,Haryana,North,SP0083,Shreya Sharma,Regional Sales Manager,PRD0001,Hydraulic Cylinder,Downhole Tools,6,970487,1191595,7149570,10,714957.0,1158230.34,1326648,7592843.34,RTGS,Paid,Delivered,20,High
INV100049,2024-06-26,2024,6,2,26,Wednesday,CUST0105,Schlumberger Branch 5,Gold,Manufacturing,REG010,Karnataka,South,SP0044,Vikas Kumar,Senior Sales Executive,PRD0011,Packer,Downhole Tools,18,698591,886856,15963408,0,0.0,2873413.44,3388770,18836821.44,Cash,Overdue,Processing,15,Low
INV100050,2022-01-31,2022,1,1,31,Monday,CUST0407,Oil India Branch 10,Platinum,Mining,REG011,Andhra Pradesh,South,SP0064,Amit Singh,Regional Sales Manager,PRD0017,Casing Pipe,Drilling Tools,3,575504,798082,2394246,5,119712.3,409416.07,667734,2683949.77,UPI,Pending,In Transit,30,Low
INV100051,2024-09-12,2024,9,3,12,Thursday,CUST0242,NTPC Branch 9,Gold,Oil & Gas,REG009,Tamil Nadu,South,SP0055,Rahul Singh,Area Sales Manager,PRD0006,Crossover,Downhole Tools,7,591369,732629,5128403,15,769260.45,784645.66,988820,5143788.21,Cash,Paid,In Transit,11,Low
INV100052,2022-01-05,2022,1,1,5,Wednesday,CUST0130,Halliburton Branch 13,Silver,Mining,REG001,Rajasthan,North,SP0005,Priya Patel,Senior Sales Executive,PRD0003,Stabilizer,Completion Tools,13,331244,405251,5268263,10,526826.3,853458.61,962091,5594895.31,RTGS,Pending,In Transit,37,High
INV100053,2025-11-27,2025,11,4,27,Thursday,CUST0024,Schlumberger Branch 9,Gold,Engineering,REG018,Chhattisgarh,Central,SP0040,Rahul Verma,Sales Executive,PRD0002,Bridge Plug,Wellhead Equipment,24,407473,557901,13389624,20,2677924.8,1928105.86,3610272,12639805.06,Cheque,Overdue,In Transit,10,Low
INV100054,2022-11-14,2022,11,4,14,Monday,CUST0038,ONGC Branch 3,Silver,Mining,REG019,Bihar,East,SP0027,Amit Kumar,Sales Executive,PRD0017,Casing Pipe,Drilling Tools,7,575504,798082,5586574,10,558657.4,905024.99,1558046,5932941.59,UPI,Paid,Processing,30,Low
INV100055,2025-01-15,2025,1,1,15,Wednesday,CUST0398,Indian Oil Branch 11,Platinum,Energy,REG007,Maharashtra,West,SP0090,Neha Singh,Sales Executive,PRD0003,Stabilizer,Completion Tools,2,331244,405251,810502,10,81050.2,131301.32,148014,860753.12,Cash,Paid,Processing,37,High
INV100056,2024-09-03,2024,9,3,3,Tuesday,CUST0119,NTPC Branch 22,Platinum,Engineering,REG005,Punjab,North,SP0017,Vikas Patel,Senior Sales Executive,PRD0007,Float Collar,Wellhead Equipment,17,676417,955015,16235255,20,3247051.0,2337876.72,4736166,15326080.72,UPI,Paid,Processing,21,High
INV100057,2022-06-14,2022,6,2,14,Tuesday,CUST0071,ONGC Branch 1,Platinum,Mining,REG011,Andhra Pradesh,South,SP0064,Amit Singh,Regional Sales Manager,PRD0014,Christmas Tree,Downhole Tools,6,540174,759187,4555122,0,0.0,819921.96,1314078,5375043.96,NEFT,Paid,Processing,30,Low
INV100058,2023-04-27,2023,4,2,27,Thursday,CUST0266,Oil India Branch 21,Silver,Mining,REG015,West Bengal,East,SP0098,Rohit Kumar,Area Sales Manager,PRD0005,Drill Collar,Hydraulic Equipment,13,591704,829780,10787140,0,0.0,1941685.2,3094988,12728825.2,NEFT,Paid,Processing,15,Medium
INV100059,2025-05-02,2025,5,2,2,Friday,CUST0245,NTPC Branch 28,Silver,Energy,REG009,Tamil Nadu,South,SP0069,Amit Gupta,Senior Sales Executive,PRD0016,Drill Bit,Downhole Tools,2,974079,1280634,2561268,20,512253.6,368822.59,613110,2417836.99,Cash,Pending,Processing,13,High
INV100060,2025-04-10,2025,4,2,10,Thursday,CUST0081,GAIL India Branch 2,Gold,Oil & Gas,REG014,Odisha,East,SP0091,Rohit Verma,Sales Executive,PRD0001,Hydraulic Cylinder,Downhole Tools,19,970487,1191595,22640305,20,4528061.0,3260203.92,4201052,21372447.92,Bank Transfer,Pending,Delivered,20,High
INV100061,2025-10-03,2025,10,4,3,Friday,CUST0175,HPCL Branch 9,Silver,Oil & Gas,REG018,Chhattisgarh,Central,SP0014,Sandeep Patel,Senior Sales Executive,PRD0003,Stabilizer,Completion Tools,23,331244,405251,9320773,10,932077.3,1509965.23,1702161,9898660.93,UPI,Pending,In Transit,37,High
INV100062,2022-09-26,2022,9,3,26,Monday,CUST0443,Baker Hughes Branch 21,Gold,Oil & Gas,REG014,Odisha,East,SP0035,Karan Verma,Senior Sales Executive,PRD0011,Packer,Downhole Tools,22,698591,886856,19510832,10,1951083.2,3160754.78,4141830,20720503.58,RTGS,Pending,Delivered,15,Low
INV100063,2022-01-20,2022,1,1,20,Thursday,CUST0169,NTPC Branch 9,Gold,Energy,REG012,Telangana,South,SP0007,Sandeep Gupta,Area Sales Manager,PRD0014,Christmas Tree,Downhole Tools,15,540174,759187,11387805,20,2277561.0,1639843.92,3285195,10750087.92,NEFT,Paid,Delivered,30,Low
INV100064,2025-01-06,2025,1,1,6,Monday,CUST0168,Adani Power Branch 24,Gold,Engineering,REG012,Telangana,South,SP0036,Shreya Agarwal,Regional Sales Manager,PRD0008,Float Shoe,Drilling Tools,7,781741,1042887,7300209,20,1460041.8,1051230.1,1828022,6891397.3,Bank Transfer,Paid,In Transit,10,High
INV100065,2022-05-21,2022,5,2,21,Saturday,CUST0460,HPCL Branch 29,Platinum,Energy,REG014,Odisha,East,SP0035,Karan Verma,Senior Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,8,1002729,1270201,10161608,10,1016160.8,1646180.5,2139776,10791627.7,Bank Transfer,Paid,In Transit,15,Low
INV100066,2025-01-17,2025,1,1,17,Friday,CUST0469,BHEL Branch 17,Silver,Mining,REG011,Andhra Pradesh,South,SP0064,Amit Singh,Regional Sales Manager,PRD0010,Liner Hanger,Downhole Tools,23,993384,1248658,28719134,10,2871913.4,4652499.71,5871302,30499720.31,NEFT,Overdue,Processing,10,Low
INV100067,2022-01-17,2022,1,1,17,Monday,CUST0034,Engineers India Branch 20,Silver,Manufacturing,REG010,Karnataka,South,SP0088,Nikhil Gupta,Senior Sales Executive,PRD0005,Drill Collar,Hydraulic Equipment,22,591704,829780,18255160,20,3651032.0,2628743.04,5237672,17232871.04,Bank Transfer,Overdue,Delivered,15,Medium
INV100068,2022-10-03,2022,10,4,3,Monday,CUST0007,Reliance Industries Branch 25,Platinum,Manufacturing,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0011,Packer,Downhole Tools,9,698591,886856,7981704,0,0.0,1436706.72,1694385,9418410.72,Cash,Overdue,Processing,15,Low
INV100069,2022-11-15,2022,11,4,15,Tuesday,CUST0397,Indian Oil Branch 10,Silver,Manufacturing,REG015,West Bengal,East,SP0081,Priya Gupta,Regional Sales Manager,PRD0005,Drill Collar,Hydraulic Equipment,9,591704,829780,7468020,10,746802.0,1209819.24,2142684,7931037.24,NEFT,Paid,Processing,15,Medium
INV100070,2023-12-04,2023,12,4,4,Monday,CUST0331,Vedanta Limited Branch 3,Platinum,Engineering,REG011,Andhra Pradesh,South,SP0015,Karan Sharma,Regional Sales Manager,PRD0007,Float Collar,Wellhead Equipment,7,676417,955015,6685105,10,668510.5,1082987.01,1950186,7099581.51,NEFT,Pending,In Transit,21,High
INV100071,2022-04-15,2022,4,2,15,Friday,CUST0403,BHEL Branch 23,Gold,Mining,REG006,Uttar Pradesh,North,SP0086,Pooja Verma,Regional Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,3,1002729,1270201,3810603,15,571590.45,583022.26,802416,3822034.81,Bank Transfer,Paid,Delivered,15,Low
INV100072,2023-11-15,2023,11,4,15,Wednesday,CUST0406,Oil India Branch 11,Silver,Oil & Gas,REG018,Chhattisgarh,Central,SP0059,Pooja Agarwal,Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,25,1002729,1270201,31755025,5,1587751.25,5430109.28,6686800,35597383.03,Cheque,Pending,Delivered,15,Low
INV100073,2024-06-23,2024,6,2,23,Sunday,CUST0222,BHEL Branch 12,Platinum,Energy,REG018,Chhattisgarh,Central,SP0053,Vikas Verma,Area Sales Manager,PRD0015,Completion Valve,Downhole Tools,18,894731,1269705,22854690,15,3428203.5,3496767.57,6749532,22923254.07,NEFT,Paid,Delivered,18,Medium
INV100074,2022-06-04,2022,6,2,4,Saturday,CUST0015,GAIL India Branch 15,Silver,Energy,REG013,Kerala,South,SP0076,Priya Patel,Sales Executive,PRD0016,Drill Bit,Downhole Tools,23,974079,1280634,29454582,5,1472729.1,5036733.52,7050765,33018586.42,NEFT,Paid,In Transit,13,High
INV100075,2025-04-07,2025,4,2,7,Monday,CUST0333,HPCL Branch 8,Silver,Oil & Gas,REG012,Telangana,South,SP0007,Sandeep Gupta,Area Sales Manager,PRD0003,Stabilizer,Completion Tools,18,331244,405251,7294518,5,364725.9,1247362.58,1332126,8177154.68,RTGS,Paid,Delivered,37,High
INV100076,2023-09-24,2023,9,3,24,Sunday,CUST0002,HPCL Branch 24,Platinum,Oil & Gas,REG008,Madhya Pradesh,Central,SP0063,Priya Singh,Senior Sales Executive,PRD0003,Stabilizer,Completion Tools,12,331244,405251,4863012,0,0.0,875342.16,888084,5738354.16,Bank Transfer,Paid,Processing,37,High
INV100077,2023-05-27,2023,5,2,27,Saturday,CUST0111,Oil India Branch 17,Gold,Engineering,REG003,Delhi NCR,North,SP0003,Amit Sharma,Senior Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,22,784714,1016097,22354134,0,0.0,4023744.12,5090426,26377878.12,Bank Transfer,Overdue,In Transit,19,Low
INV100078,2025-06-25,2025,6,2,25,Wednesday,CUST0385,Baker Hughes Branch 18,Platinum,Oil & Gas,REG016,Assam,East,SP0082,Neha Agarwal,Regional Sales Manager,PRD0002,Bridge Plug,Wellhead Equipment,24,407473,557901,13389624,5,669481.2,2289625.7,3610272,15009768.5,UPI,Paid,Delivered,10,Low
INV100079,2024-04-24,2024,4,2,24,Wednesday,CUST0152,ONGC Branch 17,Silver,Energy,REG012,Telangana,South,SP0066,Karan Verma,Area Sales Manager,PRD0017,Casing Pipe,Drilling Tools,1,575504,798082,798082,5,39904.1,136472.02,222578,894649.92,Cheque,Pending,In Transit,30,Low
INV100080,2025-10-03,2025,10,4,3,Friday,CUST0096,Larsen & Toubro Branch 1,Gold,Oil & Gas,REG018,Chhattisgarh,Central,SP0053,Vikas Verma,Area Sales Manager,PRD0003,Stabilizer,Completion Tools,24,331244,405251,9726024,5,486301.2,1663150.1,1776168,10902872.9,Bank Transfer,Paid,Processing,37,High
INV100081,2022-08-10,2022,8,3,10,Wednesday,CUST0199,Essar Oil Branch 22,Platinum,Engineering,REG003,Delhi NCR,North,SP0057,Ankit Sharma,Regional Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,13,1002729,1270201,16512613,0,0.0,2972270.34,3477136,19484883.34,RTGS,Paid,Delivered,15,Low
